Generator,get_size,density,average_clustering,degree_assortativity_coefficient,parameters
gnp_random_graph,1000,0.0995495495495495,0.099282914866437,0.0017596445482666,"[1000, 0.1]"
gnp_random_graph,1000,0.200032032032032,0.2001583355084614,0.0001522857092881,"[1000, 0.2]"
gnp_random_graph,1000,0.3002222222222222,0.3002215971138177,-0.0049319658324939,"[1000, 0.30000000000000004]"
gnp_random_graph,1000,0.4003303303303303,0.4004382495539859,0.0013798605203133,"[1000, 0.4]"
gnp_random_graph,1000,0.4991511511511511,0.4991618009240194,0.0014278461200027,"[1000, 0.5]"
gnp_random_graph,1000,0.5994514514514514,0.5995063549615468,-0.000418961571055,"[1000, 0.6000000000000001]"
gnp_random_graph,1000,0.6994734734734734,0.6994723032246315,-0.0028509315003344,"[1000, 0.7000000000000001]"
gnp_random_graph,1000,0.8000340340340341,0.8000493467320726,-0.0017293746462117,"[1000, 0.8]"
barabasi_albert_graph,1000,0.1801801801801801,0.2739001849811974,-0.0176602240050961,"[1000, 100]"
barabasi_albert_graph,1000,0.3203203203203203,0.4188239531586513,-0.0697926199699972,"[1000, 200]"
barabasi_albert_graph,1000,0.4204204204204204,0.5369006984926099,-0.1630343458550277,"[1000, 300]"
barabasi_albert_graph,1000,0.4804804804804805,0.6370685647200214,-0.2777501090193942,"[1000, 400]"
barabasi_albert_graph,1000,0.5005005005005005,0.7244350747553299,-0.3974249643471304,"[1000, 500]"
barabasi_albert_graph,1000,0.4804804804804805,0.7911034285505166,-0.5171179655170148,"[1000, 600]"
barabasi_albert_graph,1000,0.4204204204204204,0.837972250334655,-0.6428769203442237,"[1000, 700]"
barabasi_albert_graph,1000,0.3203203203203203,0.8703729140095694,-0.7728171567494486,"[1000, 800]"
watts_strogatz_graph,1000,0.1001001001001001,0.5557716017770464,-0.0029260362663375,"[1000, 100, 0.1]"
watts_strogatz_graph,1000,0.1001001001001001,0.404535369297279,-0.0005647755075394,"[1000, 100, 0.2]"
watts_strogatz_graph,1000,0.1001001001001001,0.2935450010973757,-0.00713063520476,"[1000, 100, 0.30000000000000004]"
watts_strogatz_graph,1000,0.1001001001001001,0.2172690924296011,-0.0002296237975751,"[1000, 100, 0.4]"
watts_strogatz_graph,1000,0.1001001001001001,0.1631435757985296,-0.0053077807785468,"[1000, 100, 0.5]"
watts_strogatz_graph,1000,0.1001001001001001,0.1282968860946076,0.0003781407906614,"[1000, 100, 0.6000000000000001]"
watts_strogatz_graph,1000,0.1001001001001001,0.1101276933527817,-0.0070299158649503,"[1000, 100, 0.7000000000000001]"
watts_strogatz_graph,1000,0.1001001001001001,0.101820339566423,-0.0059642780959873,"[1000, 100, 0.8]"
watts_strogatz_graph,1000,0.2002002002002002,0.5692780235809262,0.0070396151967404,"[1000, 200, 0.1]"
watts_strogatz_graph,1000,0.2002002002002002,0.4360881870079626,-0.0017579330523023,"[1000, 200, 0.2]"
watts_strogatz_graph,1000,0.2002002002002002,0.3410525986684046,-0.0051555705671097,"[1000, 200, 0.30000000000000004]"
watts_strogatz_graph,1000,0.2002002002002002,0.2790703950958831,-0.0009292849822671,"[1000, 200, 0.4]"
watts_strogatz_graph,1000,0.2002002002002002,0.2397052951741557,-0.0008053428465181,"[1000, 200, 0.5]"
watts_strogatz_graph,1000,0.2002002002002002,0.2153752807404062,-0.0040428987453472,"[1000, 200, 0.6000000000000001]"
watts_strogatz_graph,1000,0.2002002002002002,0.2040028448716163,-0.0005714634968262,"[1000, 200, 0.7000000000000001]"
watts_strogatz_graph,1000,0.2002002002002002,0.2001230941594805,-0.0023898411167064,"[1000, 200, 0.8]"
watts_strogatz_graph,1000,0.3003003003003003,0.585185937289054,-0.0019110588462547,"[1000, 300, 0.1]"
watts_strogatz_graph,1000,0.3003003003003003,0.4734326350961991,4.9467850044493954e-05,"[1000, 300, 0.2]"
watts_strogatz_graph,1000,0.3003003003003003,0.3979837027379973,0.0062196108458805,"[1000, 300, 0.30000000000000004]"
watts_strogatz_graph,1000,0.3003003003003003,0.3485849708472743,0.0009356511706636,"[1000, 300, 0.4]"
watts_strogatz_graph,1000,0.3003003003003003,0.3218180137367534,-0.0032901985932583,"[1000, 300, 0.5]"
watts_strogatz_graph,1000,0.3003003003003003,0.3069510379384311,-0.0036243447211697,"[1000, 300, 0.6000000000000001]"
watts_strogatz_graph,1000,0.3003003003003003,0.3013079866544582,-0.000931235342613,"[1000, 300, 0.7000000000000001]"
watts_strogatz_graph,1000,0.3003003003003003,0.299829473885723,-0.0032271215380945,"[1000, 300, 0.8]"
watts_strogatz_graph,1000,0.4004004004004004,0.6061825514388229,-0.0009429683884351,"[1000, 400, 0.1]"
